id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
S;SUL;2021-01-02 00:00:00;1688.64800000;1209.54399999;487.36800000;0E-8;9154.95199999;-5769.39200000
NE;NORDESTE;2021-01-02 01:00:00;4547.46000000;2444.57899999;7495.20300000;0E-8;10725.76600000;3761.47599999
N;NORTE;2021-01-02 01:00:00;5073.48900000;2893.17800000;280.18100000;0E-8;5800.95100000;2445.89700000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 01:00:00;35501.48200000;13633.07800000;8236.39000000;0E-8;57370.95000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 01:00:00;24332.89200000;7073.01100000;0E-8;0E-8;32224.65500000;-818.75200000
S;SUL;2021-01-02 01:00:00;1547.64100000;1222.31000000;461.00600000;0E-8;8619.57800000;-5388.62100000
NE;NORDESTE;2021-01-02 02:00:00;4556.53600000;2439.40000000;7280.20999999;0E-8;10563.59199999;3712.55400000
N;NORTE;2021-01-02 02:00:00;5145.24299999;2902.48200000;287.55500000;0E-8;5725.30400000;2609.97600000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 02:00:00;34347.06100000;13517.24300000;7913.10400000;0E-8;55777.41000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 02:00:00;23225.99200000;6943.63700000;0E-8;0E-8;31234.20800000;-1064.57899999
S;SUL;2021-01-02 02:00:00;1419.29000000;1231.72400000;345.33899999;0E-8;8254.30400000;-5257.95100000
NE;NORDESTE;2021-01-02 03:00:00;4564.43300000;2438.49000000;7001.49200000;0E-8;10403.44100000;3600.97400000
N;NORTE;2021-01-02 03:00:00;5149.60099999;2906.70100000;252.64100000;0E-8;5585.47100000;2723.47199999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 03:00:00;33700.49600000;13509.54500000;7482.51100000;0E-8;54692.55000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 03:00:00;22741.46199999;6929.71600000;0E-8;0E-8;30674.75199999;-1003.57399999
S;SUL;2021-01-02 03:00:00;1244.99999999;1234.63800000;228.37800000;0E-8;8028.88800000;-5320.87200000
NE;NORDESTE;2021-01-02 04:00:00;4569.53800000;2438.84600000;6258.63200000;0E-8;10239.73300000;3027.28300000
N;NORTE;2021-01-02 04:00:00;5154.28799999;2910.46500000;229.93300000;0E-8;5481.68599999;2813.00000000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 04:00:00;33747.99600000;13504.61700000;6724.86300000;0E-8;53977.48000000;0E-8
